DocumentSource,SlideNumber,Content
LILAIRE.pdf,1,"A FRESH AND MODERN MUGUET fj FEATURES

A R - TM ._ - Soft, creamy muguet-like floral character with
\ a bright profile.

IPC: 16405 5 4 a Smooths out harsh notes and brings harmony,
| ™ adding volume and roundness.

- Good performance, substantivity and long-

lasting effect.

- Easy to use and versatile, supporting creative

freedom in fine fragrance design."
LILAIRE.pdf,2,"V E G A N S U I TA B L E
Perfect for brands committed to cruelty-free
and ethical beauty.
M I N I M A L E C O T O X P R O F I L E
Only classified as H412, suited for brands prioritizing
environmental safety and clean formulations.
N O N - A L L E R G E N
Suitable for sensitive skin and clean-label
product lines.
2 ©2025 Property of IFF Inc."
LILAIRE.pdf,3,"| IL AIRE ™ REGULATORY STATUS:

For regulatory status and documentation,
please contact your sales representative.

| Muguet
| ¥ >  OLFACTORY DESCRIPTION Creamy
i A full body, creamy, natural and soft muguet. Green
' Powdery
Grapefruit
“Lilaire delivers a creamy, BENEFITS
petal-like texture, enhancing
the heart of the fragrance with Enhances floral Adds smoothness Offers strong In fine fragrance, it
a soft yet substantive floral compositions with and balance, performance and can be used at high
lift.” a delicate, modern _— rounding off sharp lasting impact levels without

signature. edges in the across fragrance overwhelming the
formula. stages. formula.

Laura Gibbs, Senior Perfumer"
LILAIRE.pdf,4,"Public

LILAIRE™

3,3-dimethyl-4-(m-tolyl) butan-2-ol
IPC NUMBER 16405

FLORAL

Muguet, Creamy, Green OH
NOTE IMPACT

TOP High

HEART [Medium

BASE Low

OLFACTORY DESCRIPTION

A full body, creamy, natural and soft muguet.

CHEMICAL FORMULA CAS NUMBER

SUBSTANTIVITY
C13H200 873110-97-5 > 7 days
VISUAL DESCRIPTION FLASH POINT MOLECULAR WEIGHT
Colorless liquid >94°C 192.3
TYPICAL USE LEVEL VAPOR PRESSURE LOG P

Traces to 10% 0.00254821 mmHg @23°C 3.89

Public"
LILAIRE.pdf,5,"LILAIRE™

OLFACTIVE
DESCRIPTION

Floral Fruity

Confidential IFF information BASE

GARDEN
BLOOM

Created by

Carole Calmettes,
Perfumer

Application
Alcohol 20%

0 (Blotter number -
Minus: 01 / Plus: 02)

Mandarin,

Red fruits

Jasmine, Muguet

Sandalwood, Vanilla, Musk"
LILAIRE.pdf,6,"FORMULA GARDEN BLOOM | FINE FRAGRANCE 20%

(-) (+) (-) (+)

Citrus Mandarin Oil Yellow 15.00 Balsamic Benzyl Salicylate 80.00
Herbal Ethyl Linalool 60.00 Ambrettolide IF F 4.00
Liffarome IFF 1.00 Musk Edenolide IFF 40.00
Green Hexenyl Acetate, Cis-3 10% 2.00 Ethylene Brassylate 135.00
Hexenyl Salicylate, Cis-3 IF F 15.00 Amber Ambermor IFF 14.00
Citronellyl Acetate IF F 10.00 Woody Bacdanol® IFF 10.00
Damascenone 10% IF F 4.00 Powdery/sweet Ethyl Vanillin 1.00
Floriffol 100.00 Animalic Indole 1% 5.00
Floral Jasmin Lactone 10% 6.00
Kharismal® Super IFF 80.00 DPG 200.00 150.00
Lilaire™ IFF - 50.00 TOTAL: 1,000.00 1,000.00
Methyl Dihydro Jasmonate 180.00
Allyl Amyl Glycolate 10% IF F 5.00
Cassis Base 2.00
Cyclogalbanate 10% 5.00
Decalactone Gamma 1.00
Fruity
Geranyl Acetate IF F 12.00
Manzanate 1% 8.00
Prunella 400
Undecalactone Gamma 1.00

iff
Blotter number (-): 07 | (+): 02

*formula continues over next column"
LILAIRE.pdf,7,"Pepper black

Oriental Woody

Rose, Muguet

Cashmeran, Vetiver, Musk"
LILAIRE.pdf,8,"FORMULA NOBLE BOIS |

Citrus

Herbal

Green

Floral

Spicy

Balsamic

Musk

Amber

Methyl Pamplemousse
Ethyl Linalool

Linalool Pure

Liffarome 10%
Damascenone 10%
Kharismal® Super

Lilaire™

Methyl Dihydro Jasmonate
Phenoxanol®

Eugenol Nat Leaf Oil LMR
Pepper Oil Black Madagascar LMR
Olibanum Oil Rd
Ambrettolide

Ambermor

Ambrocenide Cryst 10%
Cashmeran®

Operanide [ay

*formula continues over next column

FINE FRAGRANCE 20%

IFF
IFF
IFF
IFF

IFF
IFF
IFF

IFF
IFF

IFF
IFF

(-)
2.00
35.00
34.00
4.00
1.00
60.00

20.00
10.00
4.00
10.00
1.00
10.00
20.00
4.00
60.00
9.00

(+)

50.00

Woody

Powdery/sweet

Methyl lonone Gamma Coeur
Timbersilk™

Veramoss

Vetiver Acetate Haiti
Bicyclononalactone

Vanillin 10%

DPG

IFF
IFF
IFF
IFF
IFF

TOTAL:

(-)
100.00
400.00

4.00
10.00
9.00
1.00

200.00

(+)

150.00

1,000.00 1,000.00

iff

Blotter number (-): 03 | (+): 04"
LILAIRE.pdf,9,"€ a ~ \
~ ORCHARD
~~ MIST
Created by
Laura Gibbs, Senior
\ Perfumer
ow 2 Application
ee . a = Shampoo 1%
OLF ACTIVE
DESCRIPTION Apple, Green, Pear

Fruity Floral

Peach, Rose, Plum

Red Fruit, Musk
BASE"
LILAIRE.pdf,10,"FORMULA ORCHARD MIST

Citrus

Herbal

Green

Floral

Dihydro Myrcenol

Orange Heart LMR
Tetrahydro Linalool
Liffarome

Vertoliff

Benzyl Acetate

Geraniol 980

Hexyl Cinnamic Aldehyde
Lilaire™

Methyl Dihydro Jasmonate

Peonile

IFF

IFF
IFF

IFF

IFF

SHAMPOO 1%

(-)
40.00
9.00
60.00
10.00
10.00
60.00
50.00
100.00

150.00

25.00

(+)

Fruity

10.00

Musk

*formula continues over next column

Aldehyde C-16

Cyclaprop®

Decalactone Gamma

Delta Damascone [FF
Dimethyl Benzyl Carbinyl Butyrate
Ethyl-2-Methyl Butyrate

Fragarone IF F
Hexyl Acetate

Manzanate

Undecalactone Gamma

Veltol Plus

Verdox™

Edenolide IF F

DPG

TOTAL:

(-)
15.00
64.00
30.00
10.00
40.00
20.00

1.00
40.00
25.00
35.00
10.00

150.00
10.00

40.00
1,000.00

(+)

30.00
1,000.00"
